Table 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Type (SHARE_HOST_SITE, FARMERS_MARKET, FOOD_CUPBOARD, SENIOR_MEAL, SOUP_KITCHEN, or WIC_OFFICE) ",Name,Address - Line 1 ,Address - Line 2 (optional),City,State,Zip Code,Phone Number (optional),Website (optional),Description (optional),Families and children? (either ÔYesÕ or leave blank),Seniors? (either ÔYesÕ or leave blank),Wheelchair accessible? (either ÔYesÕ or leave blank),Accepts SNAP? (either ÔYesÕ or leave blank),Accepts FMNP Vouchers? (either ÔYesÕ or leave blank),Accepts Philly Food Bucks? (either ÔYesÕ or leave blank),Hours Available? (either ÔYesÕ or leave blank),Open Sunday? (either ÔYesÕ or leave blank),Open Monday? (either ÔYesÕ or leave blank),Open Tuesday? (either ÔYesÕ or leave blank),Open Wednesday? (either ÔYesÕ or leave blank),Open Thursday? (either ÔYesÕ or leave blank),Open Friday? (either ÔYesÕ or leave blank),Open Saturday? (either ÔYesÕ or leave blank),Sunday Opening Time (either ÔYesÕ or leave blank),Sunday Closing Time (either ÔYesÕ or leave blank),"Monday Opening Time (military time - e.g., 8:00 or 17:00)","Monday Closing Time (military time - e.g., 8:00 or 17:00)","Tuesday Opening Time (military time - e.g., 8:00 or 17:00)","Tuesday Closing Time (military time - e.g., 8:00 or 17:00)","Wednesday Opening Time (military time - e.g., 8:00 or 17:00)","Wednesday Closing Time (military time - e.g., 8:00 or 17:00)","Thursday Opening Time (military time - e.g., 8:00 or 17:00)","Thursday Closing Time (military time - e.g., 8:00 or 17:00)","Friday Opening Time (military time - e.g., 8:00 or 17:00)","Friday Closing Time (military time - e.g., 8:00 or 17:00)","Saturday Opening Time (military time - e.g., 8:00 or 17:00)","Saturday Closing Time (military time - e.g., 8:00 or 17:00)"
1,SHARE_HOST_SITE,American Legion Post #21,6400 Pashall Ave,,Philadelphia,PA,19142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,SHARE_HOST_SITE,Antonia Pantoja Charter School,4101 Ameriacan St,,Philadelphia,PA,19140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,SHARE_HOST_SITE,Arch Homes Tenant Council,113 N. Allison St,,Philadelphia,PA,19139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,SHARE_HOST_SITE,Beth-El Baptist Church,1218 E. Chelten Ave,,Philadelphia,PA,19138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,SHARE_HOST_SITE,Bethel Temple Community Bible Church,228 East Allegheny Ave,,Philadelphia,PA,19134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,SHARE_HOST_SITE,Bethem Baptist,3151 Dakota St,,Philadelphia,PA,19132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,SHARE_HOST_SITE,Better Day Recovery,11082 Knights Rd,,Philadelphia,PA,19154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,SHARE_HOST_SITE,Beulah Baptist,5001 Spruce St,,Philadelphia,PA,19139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,SHARE_HOST_SITE,Bundles of Blessings Foundation,7918 Forrest Ave,,Philadelphia,PA,19150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,SHARE_HOST_SITE,Calvary Gospel Chapel,4121 Girard Ave,,Philadelphia,PA,19104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,SHARE_HOST_SITE,Cecil B. Moore Service Corp.,1606 N. 16th St,,Philadelphia,PA,19121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,SHARE_HOST_SITE,Christ Bible Fellowship of Philadelphia,1925 E. Venango St,,Philadelphia,PA,19134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,SHARE_HOST_SITE,Christian Chapel of Philadelphia,1453 N. 52nd St,,Philadelphia,PA,19131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,SHARE_HOST_SITE,Clapping Hands,5418 Race St,,Philadelphia,PA,19139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,SHARE_HOST_SITE,Courtyard Apartments at Riverview,1021 S. 4th St,,Philadelphia,PA,19147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,SHARE_HOST_SITE,Crossroads Missionary Baptist Church,2219-123 W. Alleghney Ave,,Philadelphia,PA,19132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,SHARE_HOST_SITE,Deborah Collins,2902 N. Bonsall St,,Philadelphia,PA,19132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,SHARE_HOST_SITE,Divine Mercy Food Pantry,6667 Chester Ave,,Philadelphia,PA,19142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,SHARE_HOST_SITE,El Shaddai Baptist Church,4244-48 Old York Rd,,Philadelphia,PA,19140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
